dataset,model,pq,metrics,paired
lfw,adaface,pq_512_m128_b8,lfw_adaface_pq_512_m128_b8_metrics-01.csv,lfw_adaface_pq_512_m128_b8_paired-01.csv
lfw,adaface,pq_512_m32_b8,lfw_adaface_pq_512_m32_b8_metrics-01.csv,lfw_adaface_pq_512_m32_b8_paired-01.csv
lfw,adaface,pq_512_m64_b8,lfw_adaface_pq_512_m64_b8_metrics-01.csv,lfw_adaface_pq_512_m64_b8_paired-01.csv
lfw,arcface,pq_512_m128_b8,lfw_arcface_pq_512_m128_b8_metrics-01.csv,lfw_arcface_pq_512_m128_b8_paired-01.csv
lfw,arcface,pq_512_m32_b8,lfw_arcface_pq_512_m32_b8_metrics-01.csv,lfw_arcface_pq_512_m32_b8_paired-01.csv
lfw,arcface,pq_512_m64_b8,lfw_arcface_pq_512_m64_b8_metrics-01.csv,lfw_arcface_pq_512_m64_b8_paired-01.csv
lfw,edgeface,pq_512_m128_b8,lfw_edgeface_pq_512_m128_b8_metrics-01.csv,lfw_edgeface_pq_512_m128_b8_paired-01.csv
lfw,edgeface,pq_512_m32_b8,lfw_edgeface_pq_512_m32_b8_metrics-01.csv,lfw_edgeface_pq_512_m32_b8_paired-01.csv
lfw,edgeface,pq_512_m64_b8,lfw_edgeface_pq_512_m64_b8_metrics-01.csv,lfw_edgeface_pq_512_m64_b8_paired-01.csv
lfw,magface,pq_512_m128_b8,lfw_magface_pq_512_m128_b8_metrics-01.csv,lfw_magface_pq_512_m128_b8_paired-01.csv
lfw,magface,pq_512_m32_b8,lfw_magface_pq_512_m32_b8_metrics-01.csv,lfw_magface_pq_512_m32_b8_paired-01.csv
lfw,magface,pq_512_m64_b8,lfw_magface_pq_512_m64_b8_metrics-01.csv,lfw_magface_pq_512_m64_b8_paired-01.csv
rfw_custom,adaface,pq_512_m128_b8,rfw_custom_adaface_pq_512_m128_b8_metrics-01.csv,rfw_custom_adaface_pq_512_m128_b8_paired-01.csv
rfw_custom,adaface,pq_512_m32_b8,rfw_custom_adaface_pq_512_m32_b8_metrics-01.csv,rfw_custom_adaface_pq_512_m32_b8_paired-01.csv
rfw_custom,adaface,pq_512_m64_b8,rfw_custom_adaface_pq_512_m64_b8_metrics-01.csv,rfw_custom_adaface_pq_512_m64_b8_paired-01.csv
rfw_custom,arcface,pq_512_m128_b8,rfw_custom_arcface_pq_512_m128_b8_metrics-01.csv,rfw_custom_arcface_pq_512_m128_b8_paired-01.csv
rfw_custom,arcface,pq_512_m32_b8,rfw_custom_arcface_pq_512_m32_b8_metrics-01.csv,rfw_custom_arcface_pq_512_m32_b8_paired-01.csv
rfw_custom,arcface,pq_512_m64_b8,rfw_custom_arcface_pq_512_m64_b8_metrics-01.csv,rfw_custom_arcface_pq_512_m64_b8_paired-01.csv
rfw_custom,edgeface,pq_512_m128_b8,rfw_custom_edgeface_pq_512_m128_b8_metrics-01.csv,rfw_custom_edgeface_pq_512_m128_b8_paired-01.csv
rfw_custom,edgeface,pq_512_m32_b8,rfw_custom_edgeface_pq_512_m32_b8_metrics-01.csv,rfw_custom_edgeface_pq_512_m32_b8_paired-01.csv
rfw_custom,edgeface,pq_512_m64_b8,rfw_custom_edgeface_pq_512_m64_b8_metrics-01.csv,rfw_custom_edgeface_pq_512_m64_b8_paired-01.csv
rfw_custom,magface,pq_512_m128_b8,rfw_custom_magface_pq_512_m128_b8_metrics-01.csv,rfw_custom_magface_pq_512_m128_b8_paired-01.csv
rfw_custom,magface,pq_512_m32_b8,rfw_custom_magface_pq_512_m32_b8_metrics-01.csv,rfw_custom_magface_pq_512_m32_b8_paired-01.csv
rfw_custom,magface,pq_512_m64_b8,rfw_custom_magface_pq_512_m64_b8_metrics-01.csv,rfw_custom_magface_pq_512_m64_b8_paired-01.csv
survface,adaface,pq_512_m128_b8,survface_adaface_pq_512_m128_b8_metrics-01.csv,survface_adaface_pq_512_m128_b8_paired-01.csv
survface,adaface,pq_512_m32_b8,survface_adaface_pq_512_m32_b8_metrics-01.csv,survface_adaface_pq_512_m32_b8_paired-01.csv
survface,adaface,pq_512_m64_b8,survface_adaface_pq_512_m64_b8_metrics-01.csv,survface_adaface_pq_512_m64_b8_paired-01.csv
survface,arcface,pq_512_m128_b8,survface_arcface_pq_512_m128_b8_metrics-01.csv,survface_arcface_pq_512_m128_b8_paired-01.csv
survface,arcface,pq_512_m32_b8,survface_arcface_pq_512_m32_b8_metrics-01.csv,survface_arcface_pq_512_m32_b8_paired-01.csv
survface,arcface,pq_512_m64_b8,survface_arcface_pq_512_m64_b8_metrics-01.csv,survface_arcface_pq_512_m64_b8_paired-01.csv
survface,edgeface,pq_512_m128_b8,survface_edgeface_pq_512_m128_b8_metrics-01.csv,survface_edgeface_pq_512_m128_b8_paired-01.csv
survface,edgeface,pq_512_m32_b8,survface_edgeface_pq_512_m32_b8_metrics-01.csv,survface_edgeface_pq_512_m32_b8_paired-01.csv
survface,edgeface,pq_512_m64_b8,survface_edgeface_pq_512_m64_b8_metrics-01.csv,survface_edgeface_pq_512_m64_b8_paired-01.csv
survface,magface,pq_512_m128_b8,survface_magface_pq_512_m128_b8_metrics-01.csv,survface_magface_pq_512_m128_b8_paired-01.csv
survface,magface,pq_512_m32_b8,survface_magface_pq_512_m32_b8_metrics-01.csv,survface_magface_pq_512_m32_b8_paired-01.csv
survface,magface,pq_512_m64_b8,survface_magface_pq_512_m64_b8_metrics-01.csv,survface_magface_pq_512_m64_b8_paired-01.csv
