regime,seed,split,rows,non_mated_count,non_mated_identities
full_calibration,0,fit,109703,67064,1575
full_calibration,0,safety,50705,31761,744
full_calibration,1,fit,113800,69704,1612
full_calibration,1,safety,46608,29121,707
full_calibration,2,fit,115175,71286,1638
full_calibration,2,safety,45233,27539,681
full_calibration,3,fit,113570,70419,1630
full_calibration,3,safety,46838,28406,689
full_calibration,4,fit,113719,69093,1616
full_calibration,4,safety,46689,29732,703
full_calibration,5,fit,110913,68265,1632
full_calibration,5,safety,49495,30560,687
full_calibration,6,fit,112426,68910,1619
full_calibration,6,safety,47982,29915,700
full_calibration,7,fit,112280,71146,1632
full_calibration,7,safety,48128,27679,687
full_calibration,8,fit,109872,66780,1597
full_calibration,8,safety,50536,32045,722
full_calibration,9,fit,112173,70227,1644
full_calibration,9,safety,48235,28598,675
full_calibration,10,fit,113798,69432,1593
full_calibration,10,safety,46610,29393,726
full_calibration,11,fit,114178,71540,1646
full_calibration,11,safety,46230,27285,673
full_calibration,12,fit,115962,72321,1654
full_calibration,12,safety,44446,26504,665
full_calibration,13,fit,112674,69880,1616
full_calibration,13,safety,47734,28945,703
full_calibration,14,fit,113348,71771,1657
full_calibration,14,safety,47060,27054,662
full_calibration,15,fit,111741,69005,1583
full_calibration,15,safety,48667,29820,736
full_calibration,16,fit,108183,65408,1576
full_calibration,16,safety,52225,33417,743
full_calibration,17,fit,114322,69628,1629
full_calibration,17,safety,46086,29197,690
full_calibration,42,fit,116553,74530,1646
full_calibration,42,safety,43855,24295,673
full_calibration,8972,fit,117722,73447,1666
full_calibration,8972,safety,42686,25378,653
independent_calibration_holdout,0,fit,86775,52737,1221
independent_calibration_holdout,0,safety,40980,26003,599
independent_calibration_holdout,1,fit,91642,55995,1268
independent_calibration_holdout,1,safety,36113,22745,552
independent_calibration_holdout,2,fit,91713,57344,1279
independent_calibration_holdout,2,safety,36042,21396,541
independent_calibration_holdout,3,fit,89478,55669,1269
independent_calibration_holdout,3,safety,38277,23071,551
independent_calibration_holdout,4,fit,92208,55633,1273
independent_calibration_holdout,4,safety,35547,23107,547
independent_calibration_holdout,5,fit,88268,54378,1266
independent_calibration_holdout,5,safety,39487,24362,554
independent_calibration_holdout,6,fit,89974,55443,1273
independent_calibration_holdout,6,safety,37781,23297,547
independent_calibration_holdout,7,fit,89783,57065,1284
independent_calibration_holdout,7,safety,37972,21675,536
independent_calibration_holdout,8,fit,86816,52416,1255
independent_calibration_holdout,8,safety,40939,26324,565
independent_calibration_holdout,9,fit,90416,56812,1294
independent_calibration_holdout,9,safety,37339,21928,526
independent_calibration_holdout,10,fit,91614,56375,1251
independent_calibration_holdout,10,safety,36141,22365,569
independent_calibration_holdout,11,fit,90632,56139,1285
independent_calibration_holdout,11,safety,37123,22601,535
independent_calibration_holdout,12,fit,92330,57343,1306
independent_calibration_holdout,12,safety,35425,21397,514
independent_calibration_holdout,13,fit,89973,55712,1262
independent_calibration_holdout,13,safety,37782,23028,558
independent_calibration_holdout,14,fit,88699,56130,1282
independent_calibration_holdout,14,safety,39056,22610,538
independent_calibration_holdout,15,fit,88689,54571,1239
independent_calibration_holdout,15,safety,39066,24169,581
independent_calibration_holdout,16,fit,85935,52582,1225
independent_calibration_holdout,16,safety,41820,26158,595
independent_calibration_holdout,17,fit,90950,55459,1290
independent_calibration_holdout,17,safety,36805,23281,530
independent_calibration_holdout,42,fit,92618,59415,1279
independent_calibration_holdout,42,safety,35137,19325,541
independent_calibration_holdout,8972,fit,93548,58094,1308
independent_calibration_holdout,8972,safety,34207,20646,512
