method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_empirical,0.01,conditional-threshold-763f191e2f8f8391306ac5cc,all,98825,0,-0.16620007157325745,1.0,-0.16620007157325745,,-0.16620007157325745,False,0.009997470275739944,,True,,0
global_safe,0.01,conditional-threshold-fe38950542524a982ea985f7,all,67064,31761,-0.16586348414421082,1.0,-0.16586348414421082,-0.1672685742378235,-0.16586348414421082,False,0.009990456877013002,0.009665942508107428,True,True,0
fiqa_s_2bin,0.01,conditional-threshold-05219317caebcb11dfd28d89,low,33340,15435,-0.1652849316596985,0.9940369707811568,-0.1652849316596985,-0.16352331638336182,-0.16352331638336182,False,0.009598080383923215,0.009977324263038548,True,True,0
fiqa_s_2bin,0.01,conditional-threshold-05219317caebcb11dfd28d89,high,33724,16326,-0.1661606729030609,0.99410446881264,-0.16615892081746458,-0.17111945152282715,-0.16615892081746458,False,0.009963230933459851,0.008759034668626731,True,True,0
fiqa_l_2bin,0.01,conditional-threshold-a2c88db876f1680022ab97c7,low,33776,15462,-0.1533282846212387,0.9941134918766188,-0.1533282846212387,-0.1575787514448166,-0.1533282846212387,False,0.009977498815727143,0.00886043202690467,True,True,0
fiqa_l_2bin,0.01,conditional-threshold-a2c88db876f1680022ab97c7,high,33288,16299,-0.1798257827758789,0.9940277114190158,-0.17974239589919672,-0.17964929342269897,-0.17964929342269897,False,0.009883441480413362,0.009939260077305357,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-7548f6b4e624cb046ce65c0b,q1,13153,5945,-0.17239408195018768,0.9850220924136898,-0.1722962672597664,-0.16631244122982025,-0.16631244122982025,False,0.008591195924884058,0.00992430613961312,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-7548f6b4e624cb046ce65c0b,q2,13448,6331,-0.16326358914375305,0.9853458382180539,-0.16326358914375305,-0.1648072600364685,-0.16326358914375305,False,0.009964306960142772,0.00947717580161112,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-7548f6b4e624cb046ce65c0b,q3,13402,6337,-0.15889625251293182,0.9852962799588296,-0.15889625251293182,-0.1612134724855423,-0.15889625251293182,False,0.009998507685420087,0.009310399242543791,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-7548f6b4e624cb046ce65c0b,q4,13528,6410,-0.15736916661262512,0.9854312354312355,-0.15736916661262512,-0.1594628393650055,-0.15736916661262512,False,0.009979302188054406,0.00951638065522621,True,True,0
fiqa_s_5bin,0.01,conditional-threshold-7548f6b4e624cb046ce65c0b,q5,13533,6738,-0.18281230330467224,0.9854365397218379,-0.1825654698500671,-0.19488310813903809,-0.1825654698500671,False,0.009827828271632305,0.00771742356782428,True,True,0
