occurrence_id,pair_id,side,rfw_group,fold_index,official_index,is_genuine
rfw:african:fold00:pair000:left,rfw:african:fold00:pair000,left,African,0,0,True
rfw:african:fold00:pair000:right,rfw:african:fold00:pair000,right,African,0,0,True
rfw:african:fold00:pair001:left,rfw:african:fold00:pair001,left,African,0,1,True
rfw:african:fold00:pair001:right,rfw:african:fold00:pair001,right,African,0,1,True
rfw:african:fold00:pair002:left,rfw:african:fold00:pair002,left,African,0,2,True
rfw:african:fold00:pair002:right,rfw:african:fold00:pair002,right,African,0,2,True
rfw:african:fold00:pair003:left,rfw:african:fold00:pair003,left,African,0,3,True
rfw:african:fold00:pair003:right,rfw:african:fold00:pair003,right,African,0,3,True
rfw:african:fold00:pair004:left,rfw:african:fold00:pair004,left,African,0,4,True
rfw:african:fold00:pair004:right,rfw:african:fold00:pair004,right,African,0,4,True
rfw:african:fold00:pair005:left,rfw:african:fold00:pair005,left,African,0,5,True
rfw:african:fold00:pair005:right,rfw:african:fold00:pair005,right,African,0,5,True
rfw:african:fold00:pair006:left,rfw:african:fold00:pair006,left,African,0,6,True
rfw:african:fold00:pair006:right,rfw:african:fold00:pair006,right,African,0,6,True
rfw:african:fold00:pair007:left,rfw:african:fold00:pair007,left,African,0,7,True
rfw:african:fold00:pair007:right,rfw:african:fold00:pair007,right,African,0,7,True
rfw:african:fold00:pair008:left,rfw:african:fold00:pair008,left,African,0,8,True
rfw:african:fold00:pair008:right,rfw:african:fold00:pair008,right,African,0,8,True
rfw:african:fold00:pair009:left,rfw:african:fold00:pair009,left,African,0,9,True
rfw:african:fold00:pair009:right,rfw:african:fold00:pair009,right,African,0,9,True
rfw:african:fold00:pair010:left,rfw:african:fold00:pair010,left,African,0,10,True
rfw:african:fold00:pair010:right,rfw:african:fold00:pair010,right,African,0,10,True
rfw:african:fold00:pair011:left,rfw:african:fold00:pair011,left,African,0,11,True
rfw:african:fold00:pair011:right,rfw:african:fold00:pair011,right,African,0,11,True
rfw:african:fold00:pair012:left,rfw:african:fold00:pair012,left,African,0,12,True
rfw:african:fold00:pair012:right,rfw:african:fold00:pair012,right,African,0,12,True
